OBJECTID,callKey,callDateTime,priority,district,description,callNumber,incidentLocation,location,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,VRIZones,ZIPCode,NeedsSync,IsDeleted
30619,5601020A5FF8DD39,2021/01/08 22:31:00+00,High,NW,OVERDOSE,P210083139,5000 QUEENSBERRY AV,5000 QUEENSBERRY AV BALTIMORE MD,Central Park Heights,Northwestern,614,6,D1,Pimlico/Arlington/Hilltop,Census Tract 2717,NA,21215,TRUE,FALSE
31067,5B01020A5FF8F659,2021/01/09 00:17:59+00,High,SW,OVERDOSE,P210083604,HARMAN AV/JAMES ST,HARMAN AV and JAMES ST BALTIMORE MD,Morrell Park,Southwestern,831,10,D7,Morrell Park/Violetville,Census Tract 2503.03,NA,21230,TRUE,FALSE
31262,6401020A5FF90392,2021/01/09 01:14:00+00,High,ED,OVERDOSE,P210083813,E 0TH ST/GREENMOUNT AV,E 0TH ST and GREENMOUNT AV BALTIMORE MD,East Baltimore Midway,Eastern,342,12,D5,Midway/Coldstream,Census Tract 908,NA,21218,TRUE,FALSE
31495,5601020A5FF9158B,2021/01/09 02:31:00+00,High,SE,OVERDOSE,P210084054,1000 E BALTIMORE ST,1000 E BALTIMORE ST BALTIMORE MD,Jonestown,Southeastern,211,12,D7,Harbor East/Little Italy,Census Tract 302,NA,21202,TRUE,FALSE
31579,5901020A5FF91C11,2021/01/09 02:58:59+00,High,ED,OVERDOSE,P210084134,1800 N WASHINGTON ST,1800 N WASHINGTON ST BALTIMORE MD,Broadway East,Eastern,331,12,D5,Greenmount East,Census Tract 806,NA,21213,TRUE,FALSE
32253,5C01020A5FF942AF,2021/01/09 05:44:00+00,High,ED,OVERDOSE,P210090303,500 E PRESTON ST,500 E PRESTON ST BALTIMORE MD,Johnston Square,Eastern,311,12,D5,Greenmount East,Census Tract 1001,NA,21202,TRUE,FALSE
33513,5401020A5FF9BA06,2021/01/09 14:13:00+00,High,NW,OVERDOSE,P210091608,5100 BELLE AV,5100 BELLE AV BALTIMORE MD,Howard Park,Northwestern,622,5,D1,Howard Park/West Arlington,Census Tract 2801.02,NA,21207,TRUE,FALSE
34082,5801020A5FF9E5B0,2021/01/09 17:19:00+00,High,WD,OVERDOSE,P210092204,N CALHOUN ST/MOSHER ST,N CALHOUN ST and MOSHER ST BALTIMORE MD,Sandtown-Winchester,Western,743,9,D8,Sandtown-Winchester/Harlem Park,Census Tract 1602,Central,21217,TRUE,FALSE
35343,5A01020A5FFA3659,2021/01/09 23:03:00+00,High,ND,OVERDOSE,P210093536,5400 YORK RD,5400 YORK RD BALTIMORE MD,Homeland,Northern,523,4,D2,North Baltimore/Guilford/Homeland,Census Tract 2712,NA,21212,TRUE,FALSE
37306,6301020A5FFAB760,2021/01/10 08:13:59+00,High,WD,OVERDOSE,P210100727,0 N GILMOR ST,0 N GILMOR ST BALTIMORE MD,Franklin Square,Western,711,9,D8,Southwest Baltimore,Census Tract 1901,NA,21223,TRUE,FALSE
37765,5F01020A5FFB0582,2021/01/10 13:47:00+00,High,WD,OVERDOSE,P210101226,1900 MOSHER ST,1900 MOSHER ST BALTIMORE MD,Midtown-Edmondson,Western,722,9,D8,Sandtown-Winchester/Harlem Park,Census Tract 1604,NA,21217,TRUE,FALSE
37970,5E01020A5FFB18B6,2021/01/10 15:08:59+00,High,ND,OVERDOSE,P210101443,5500 READY AV,5500 READY AV BALTIMORE MD,Mid-Govans,Northern,523,4,D2,Chinquapin Park/Belvedere,Census Tract 2708.05,NA,21212,TRUE,FALSE
38157,6101020A5FFB2A2C,2021/01/10 16:24:00+00,High,WD,OVERDOSE,P210101642,1000 W BALTIMORE ST,1000 W BALTIMORE ST BALTIMORE MD,Poppleton,Western,712,9,D8,Poppleton/The Terraces/Hollins Market,Census Tract 1802,NA,21223,TRUE,FALSE
38195,6301020A5FFB2F52,2021/01/10 16:46:00+00,High,SD,OVERDOSE,P210101681,0TH ST/E PATAPSCO AV,0TH ST and E PATAPSCO AV BALTIMORE MD,Brooklyn,Southern,913,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,Brooklyn,21225,TRUE,FALSE
38323,5F01020A5FFB395E,2021/01/10 17:29:00+00,High,NW,OVERDOSE,P210101810,W BELVEDERE AV/BEAUFORT AV,W BELVEDERE AV and BEAUFORT AV BALTIMORE MD,Arlington,Northwestern,633,5,D1,Pimlico/Arlington/Hilltop,Census Tract 2718.02,Northwestern,21215,TRUE,FALSE
38333,5401020A5FFB3AB1,2021/01/10 17:34:00+00,High,ED,OVERDOSE,P210101828,E MADISON ST/N PORT ST,E MADISON ST and N PORT ST BALTIMORE MD,Milton-Montford,Eastern,323,13,D5,Madison/East End,Census Tract 702,Eastern2,21205,TRUE,FALSE
38354,6301020A5FFB3C39,2021/01/10 17:41:00+00,High,SE,OVERDOSE,P210101846,3400 LEVERTON AV,3400 LEVERTON AV BALTIMORE MD,Baltimore Highlands,Southeastern,223,1,D6,Highlandtown,Census Tract 2608,NA,21224,TRUE,FALSE
38659,5A01020A5FFB59C2,2021/01/10 19:47:00+00,High,WD,OVERDOSE,P210102173,2000 PRESBURY ST,2000 PRESBURY ST BALTIMORE MD,Easterwood,Western,741,7,D9,Sandtown-Winchester/Harlem Park,Census Tract 1502,Western,21217,TRUE,FALSE
39033,6201020A5FFB76AE,2021/01/10 21:49:59+00,High,WD,OVERDOSE,P210102588,CUMBERLAND ST/N CAREY ST,CUMBERLAND ST and N CAREY ST BALTIMORE MD,Sandtown-Winchester,Western,742,7,D9,Sandtown-Winchester/Harlem Park,Census Tract 1501,Western,21217,TRUE,FALSE
40672,5301020A5FFBF42B,2021/01/11 06:46:00+00,High,WD,OVERDOSE,P210110424,1700 GWYNNS FALLS PY,1700 GWYNNS FALLS PY BALTIMORE MD,Parkview/Woodbrook,Western,732,7,D2,Penn North/Reservoir Hill,Census Tract 1304,NA,21217,TRUE,FALSE
