incident,date,location,county
P523,2022-07-13,HAGERSTOWN,Washington
P524,2022-07-13,HAGERSTOWN,Washington
P525,2022-07-13,HAGERSTOWN,Washington
P526,2022-07-13,HAGERSTOWN,Washington
P527,2022-07-13,HAGERSTOWN,Washington
P528,2022-07-13,HAGERSTOWN,Washington
P529,2022-07-14,HAGERSTOWN,Washington
P530,2022-07-16,HALFWAY,Washington
P531,2022-07-16,SMITHSBURG,Washington
P532,2022-07-17,HAGERSTOWN,Washington
P533,2022-07-17,ROHRERSVILLE,Washington
P534,2022-07-18,HAGERSTOWN,Washington
P535,2022-07-18,HAGERSTOWN,Washington
P536,2022-07-18,FUNKSTOWN,Washington
P537,2022-07-18,HAGERSTOWN,Washington
P538,2022-07-19,MOUNT AETNA,Washington
P539,2022-07-19,HALFWAY,Washington
P540,2022-07-19,HAGERSTOWN,Washington
P541,2022-07-19,HAGERSTOWN,Washington
P542,2022-07-19,FUNKSTOWN,Washington
P543,2022-07-20,HAGERSTOWN,Washington
P544,2022-07-20,HAGERSTOWN,Washington
P545,2022-07-20,HAGERSTOWN,Washington
P546,2022-07-20,HAGERSTOWN,Washington
P547,2022-07-20,HAGERSTOWN,Washington
P548,2022-07-20,HAGERSTOWN,Washington
P549,2022-07-20,HAGERSTOWN,Washington
P550,2022-07-20,HAGERSTOWN,Washington
P551,2022-07-20,HAGERSTOWN,Washington
P552,2022-07-20,HAGERSTOWN,Washington
P553,2022-07-21,HAGERSTOWN,Washington
P554,2022-07-21,HAGERSTOWN,Washington
P555,2022-07-21,HAGERSTOWN,Washington
P556,2022-07-22,SMITHSBURG,Washington
P557,2022-07-22,HAGERSTOWN,Washington
P558,2022-07-23,HAGERSTOWN,Washington
P559,2022-07-23,HAGERSTOWN,Washington
P560,2022-07-23,HAGERSTOWN,Washington
P561,2022-07-24,HAGERSTOWN,Washington
P562,2022-07-24,HAGERSTOWN,Washington
P563,2022-07-24,HAGERSTOWN,Washington
P564,2022-07-24,FUNKSTOWN,Washington
P565,2022-07-24,HAGERSTOWN,Washington
P566,2022-07-25,HALFWAY,Washington
P567,2022-07-25,SMITHSBURG,Washington
P568,2022-07-25,HAGERSTOWN,Washington
P569,2022-07-26,HAGERSTOWN,Washington
P570,2022-07-26,HANCOCK,Washington
P571,2022-07-27,HAGERSTOWN,Washington
P572,2022-07-27,HAGERSTOWN,Washington
P573,2022-07-27,HAGERSTOWN,Washington
P574,2022-07-27,HAGERSTOWN,Washington
P575,2022-07-27,SMITHSBURG,Washington
P576,2022-07-27,HAGERSTOWN,Washington
P577,2022-07-27,HALFWAY,Washington
P578,2022-07-28,HAGERSTOWN,Washington
P579,2022-07-29,HAGERSTOWN,Washington
P580,2022-07-29,HAGERSTOWN,Washington
P581,2022-07-30,HAGERSTOWN,Washington
P582,2022-07-30,MAUGANSVILLE,Washington
P583,2022-07-30,FUNKSTOWN,Washington
P584,2022-07-31,KNOXVILLE,Washington
P585,2022-07-31,SMITHSBURG,Washington
P586,2022-07-31,HAGERSTOWN,Washington
P587,2022-07-31,HAGERSTOWN,Washington
P588,2022-08-01,HAGERSTOWN,Washington
